PID,Circle Cutting,Peg Transfer,Pen Rose Suturing,Overall Time
P175,1m 7s,0m 52s,N/A,1m 59s
P209,0m 46s,0m 17s,1m 14s,2m 17s
P226,1m 2s,0m 37s,2m 15s,3m 54s
P228,0m 32s,1m 0s,2m 51s,4m 23s
P225,1m 58s,0m 46s,1m 53s,4m 37s
P219,1m 24s,0m 35s,2m 58s,4m 57s
P215,1m 50s,1m 9s,2m 19s,5m 18s
P242,1m 22s,2m 1s,2m 10s,5m 33s
P220,2m 0s,1m 31s,2m 19s,5m 50s
P166,2m 14s,0m 59s,2m 51s,6m 4s
P237,1m 31s,0m 57s,3m 45s,6m 13s
P240,2m 6s,1m 21s,2m 57s,6m 24s
P172,2m 48s,1m 13s,3m 9s,7m 10s
P224,2m 55s,1m 24s,3m 0s,7m 19s
P211,2m 4s,1m 1s,4m 24s,7m 29s
P227,2m 9s,2m 20s,3m 21s,7m 50s
P177,2m 6s,2m 46s,3m 14s,8m 6s
P216,3m 3s,1m 46s,3m 28s,8m 17s
P239,3m 11s,1m 16s,4m 43s,9m 10s
P173,4m 22s,1m 21s,4m 32s,10m 15s
P206,2m 6s,2m 32s,7m 12s,11m 50s
P114,3m 0s,3m 2s,7m 23s,13m 25s
